Order,Division ID,Division Name,Teams Assigned
0,774527,2016 Regular Season,6
2,781976,2015 Regular Season,6
3,781977,2015 Playoffs,6
4,783457,2016 Playoffs,6
5,796177,2017 Regular Season,8
6,807648,2017 Playoffs,8
7,824609,2018 Regular Season,8
8,839973,2019 Regular Season,6
9,848702,2019 Playoffs,6
10,889282,2020 regular season,0
11,1004426,2021 Regular Season,6
12,1019310,2022 Regular Season,7
13,1022014,2022 Playoffs,6
14,1034800,2023 Regular Season,6
15,1034801,2023 Playoffs,6
16,1048250,2024 Regular Season,7
17,1050385,2024 Playoffs,5
18,1055348,2025 Regular Season,6
19,1056244,2025 Playoffs,6
