Game ID,Date,Status,Visitors,Home,Location,Division ID,Division Name
22505762,5/1/2016,PPD,Red Sox,Blue Jays,Mohawk 4,774527,2016 Regular Season
22505764,5/1/2016,PPD,Cardinals,Yankees,Mohawk 5,774527,2016 Regular Season
22505765,5/1/2016,PPD,Indians,Pirates,Mohawk 6,774527,2016 Regular Season
22505771,5/8/2016,F 8-6,Blue Jays,Indians,Mohawk 6,774527,2016 Regular Season
22505768,5/8/2016,F 6-9,Cardinals,Red Sox,Mohawk 4,774527,2016 Regular Season
22505769,5/8/2016,F 10-7,Yankees,Pirates,Mohawk 5,774527,2016 Regular Season
22505774,5/15/2016,F 10-8,Indians,Cardinals,Mohawk 6,774527,2016 Regular Season
22505772,5/15/2016,F 3-4,Yankees,Red Sox,Mohawk 4,774527,2016 Regular Season
22505773,5/15/2016,F 1-6,Pirates,Blue Jays,Mohawk 5,774527,2016 Regular Season
22505779,5/22/2016,F 13-5,Blue Jays,Cardinals,Mohawk 6,774527,2016 Regular Season
22505778,5/22/2016,F 11-12,Red Sox,Pirates,Mohawk 5,774527,2016 Regular Season
22505777,5/22/2016,F 9-9,Yankees,Indians,Mohawk 4,774527,2016 Regular Season
22505782,5/29/2016,F 16-9,Indians,Red Sox,Mohawk 5,774527,2016 Regular Season
22505783,5/29/2016,F 14-20,Blue Jays,Yankees,Mohawk 6,774527,2016 Regular Season
22505781,5/29/2016,F 14-5,Pirates,Cardinals,Mohawk 4,774527,2016 Regular Season
22511150,6/5/2016,F 7-12,Blue Jays,Red Sox,Mohawk 5,774527,2016 Regular Season
22511152,6/5/2016,F 10-21,Pirates,Indians,Mohawk 4,774527,2016 Regular Season
22511151,6/5/2016,F 19-9,Yankees,Cardinals,Mohawk 6,774527,2016 Regular Season
22511153,6/12/2016,F 9-9,Red Sox,Cardinals,Mohawk 4,774527,2016 Regular Season
22511154,6/12/2016,F 17-5,Pirates,Yankees,Mohawk 5,774527,2016 Regular Season
22511155,6/12/2016,F 13-11,Indians,Blue Jays,Mohawk 6,774527,2016 Regular Season
22511156,6/19/2016,F 15-2,Red Sox,Yankees,Mohawk 6,774527,2016 Regular Season
22511159,6/19/2016,F 5-11,Cardinals,Indians,Mohawk 5,774527,2016 Regular Season
22511157,6/19/2016,F 15-13,Blue Jays,Pirates,Mohawk 4,774527,2016 Regular Season
22511160,6/26/2016,F 20-9,Indians,Yankees,Mohawk 4,774527,2016 Regular Season
22511161,6/26/2016,F 11-7,Pirates,Red Sox,Mohawk 6,774527,2016 Regular Season
22511162,6/26/2016,F 5-24,Cardinals,Blue Jays,Mohawk 5,774527,2016 Regular Season
22511165,7/10/2016,F 19-12,Yankees,Blue Jays,Mohawk 4,774527,2016 Regular Season
22504901,7/10/2016,F 16-4,Pirates,Cardinals,Mohawk 6,774527,2016 Regular Season
22511164,7/10/2016,F 18-18,Indians,Red Sox,Mohawk 5,774527,2016 Regular Season
22511168,7/17/2016,F 2-11,Indians,Pirates,Glanbrook,774527,2016 Regular Season
22511166,7/17/2016,F 11-12,Red Sox,Blue Jays,Mohawk 6,774527,2016 Regular Season
22511167,7/17/2016,F 15-11,Cardinals,Yankees,Mohawk 6,774527,2016 Regular Season
22511170,7/24/2016,F 14-20,Yankees,Pirates,Mohawk 6,774527,2016 Regular Season
22511169,7/24/2016,F 6-10,Cardinals,Red Sox,Mohawk 5,774527,2016 Regular Season
22511171,7/24/2016,F 11-13,Blue Jays,Indians,Mohawk 4,774527,2016 Regular Season
22511179,8/7/2016,F 21-10,Indians,Cardinals,Mohawk 6,774527,2016 Regular Season
22511175,8/7/2016,F 20-8,Yankees,Red Sox,Mohawk 4,774527,2016 Regular Season
22511177,8/7/2016,F 16-9,Pirates,Blue Jays,Mohawk 5,774527,2016 Regular Season
22511185,8/14/2016,F 8-7,Red Sox,Pirates,Olympic 1,774527,2016 Regular Season
22511184,8/14/2016,F 17-6,Yankees,Indians,Olympic 2,774527,2016 Regular Season
22511186,8/14/2016,F 8-20,Blue Jays,Cardinals,Mohawk 6,774527,2016 Regular Season
22511189,8/21/2016,F 13-4,Blue Jays,Yankees,Mohawk 5,774527,2016 Regular Season
22511188,8/21/2016,F 13-12,Red Sox,Indians,Mohawk 6,774527,2016 Regular Season
22511187,8/21/2016,F 10-9,Cardinals,Pirates,Mohawk 4,774527,2016 Regular Season
22511192,8/28/2016,F 4-4,Pirates,Indians,Mohawk 4,774527,2016 Regular Season
22511190,8/28/2016,F 13-14,Red Sox,Blue Jays,Mohawk 6,774527,2016 Regular Season
22511191,8/28/2016,F 13-10,Cardinals,Yankees,Mohawk 5,774527,2016 Regular Season
22877710,9/11/2016,TBP,Yankees,Pirates,Mohawk 5,774527,2016 Regular Season
22877712,9/18/2016,TBP,Red Sox,Pirates,Mohawk 5,774527,2016 Regular Season
22877713,9/18/2016,TBP,Blue Jays,Indians,Mohawk 4,774527,2016 Regular Season
22877714,9/25/2016,TBP,Blue Jays,Pirates,Mohawk 5,774527,2016 Regular Season
23860598,5/21/2017,TBP,Braves,Mariners,Mohawk 4,781976,2015 Regular Season
23860599,5/21/2017,TBP,Orioles,Reds,Mohawk 4,781976,2015 Regular Season
23860597,5/21/2017,F 0-0,A's,Blue Jays,Mohawk 4,781976,2015 Regular Season
22877814,9/11/2016,F 13-10*,Red Sox,Blue Jays,Olympic 2,783457,2016 Playoffs
22877813,9/11/2016,F 9-10*,Cardinals,Indians,Olympic 1,783457,2016 Playoffs
23732814,9/11/2016,F 9-22*,Yankees,Pirates,Mohawk 5,783457,2016 Playoffs
23732821,9/18/2016,F 14-5*,Blue Jays,Indians,Mohawk 5,783457,2016 Playoffs
23732820,9/18/2016,F 6-7,Red Sox,Pirates,Mohawk 4,783457,2016 Playoffs
23732832,9/25/2016,F 7-13,Blue Jays,Pirates,Mohawk 5,783457,2016 Playoffs
23628511,5/14/2017,F 21-10,Astros,A's,Mohawk 5,796177,2017 Regular Season
23628510,5/14/2017,F 9-7,Mariners,Blue Jays,Mohawk 4,796177,2017 Regular Season
23628509,5/14/2017,F 8-9,Orioles,Braves,Mohawk 2,796177,2017 Regular Season
23628512,5/14/2017,F 3-12,Yankees,Reds,Mohawk 6,796177,2017 Regular Season
23628542,5/21/2017,CAN,A's,Mariners,Mohawk 5,796177,2017 Regular Season
23628543,5/21/2017,CAN,Orioles,Astros,Mohawk 4,796177,2017 Regular Season
23628544,5/21/2017,CAN,Blue Jays,Reds,Mohawk 2,796177,2017 Regular Season
23628545,5/21/2017,CAN,Braves,Yankees,Mohawk 6,796177,2017 Regular Season
23628551,5/28/2017,CAN,Mariners,Orioles,Mohawk 6,796177,2017 Regular Season
23628550,5/28/2017,CAN,Astros,Braves,Mohawk 5,796177,2017 Regular Season
23628552,5/28/2017,CAN,Yankees,Blue Jays,Mohawk 5,796177,2017 Regular Season
23628549,5/28/2017,CAN,Reds,A's,Mohawk 6,796177,2017 Regular Season
23628571,6/4/2017,CAN,Astros,Mariners,Mohawk 2,796177,2017 Regular Season
23628573,6/4/2017,CAN,A's,Yankees,Mohawk 4,796177,2017 Regular Season
23628572,6/4/2017,CAN,Blue Jays,Braves,Mohawk 5,796177,2017 Regular Season
23628570,6/4/2017,CAN,Orioles,Reds,Mohawk 6,796177,2017 Regular Season
23628579,6/11/2017,F 19-9,Blue Jays,A's,Mohawk 6,796177,2017 Regular Season
23628578,6/11/2017,F 3-5,Yankees,Orioles,Mohawk 4,796177,2017 Regular Season
23628580,6/11/2017,F 6-14,Reds,Astros,Mohawk 2,796177,2017 Regular Season
23628577,6/11/2017,F 9-17,Braves,Mariners,Mohawk 5,796177,2017 Regular Season
23628597,6/18/2017,F 18-7,Astros,Yankees,Mohawk 2,796177,2017 Regular Season
23628596,6/18/2017,F 8-7,Mariners,Reds,Mohawk 5,796177,2017 Regular Season
23628594,6/18/2017,F 22-7,A's,Braves,Mohawk 6,796177,2017 Regular Season
23628595,6/18/2017,F 11-18,Orioles,Blue Jays,Mohawk 4,796177,2017 Regular Season
23628606,6/25/2017,F 8-6,Orioles,A's,Mohawk 6,796177,2017 Regular Season
23628605,6/25/2017,F 7-2,Reds,Braves,Mohawk 2,796177,2017 Regular Season
23628607,6/25/2017,F 9-4,Yankees,Mariners,Mohawk 5,796177,2017 Regular Season
23628608,6/25/2017,F 4-3,Astros,Blue Jays,Mohawk 4,796177,2017 Regular Season
23628618,7/9/2017,F 11-12,Braves,Orioles,Mohawk 4,796177,2017 Regular Season
23628619,7/9/2017,F 3-6,Blue Jays,Mariners,Glanbrook,796177,2017 Regular Season
23628616,7/9/2017,F 6-9,Reds,Yankees,Mohawk 6,796177,2017 Regular Season
23628617,7/9/2017,F 13-7,A's,Astros,Mohawk 5,796177,2017 Regular Season
23628623,7/16/2017,F 10-11,Reds,Blue Jays,Mohawk 4,796177,2017 Regular Season
23628625,7/16/2017,F 12-2,Astros,Orioles,Mohawk 6,796177,2017 Regular Season
23628622,7/16/2017,F 12-13,Mariners,A's,Mohawk 2,796177,2017 Regular Season
23628624,7/16/2017,F 8-6,Yankees,Braves,Mohawk 5,796177,2017 Regular Season
23628629,7/23/2017,F 7-18,Orioles,Mariners,Mohawk 5,796177,2017 Regular Season
23628632,7/23/2017,F 9-18,A's,Reds,Mohawk 4,796177,2017 Regular Season
