game_id,inning,home_runs,away_runs
22505771,1,0,1
22505771,2,0,2
22505771,3,0,3
22505771,4,0,0
22505771,5,0,2
22505771,6,0,0
22505771,7,0,0
22505771,8,6,0
22505771,9,0,0
22505768,1,2,0
22505768,2,0,2
22505768,3,2,0
22505768,4,0,1
22505768,5,0,1
22505768,6,0,1
22505768,7,5,1
22505768,8,0,0
22505768,9,0,0
22505769,1,1,0
22505769,2,0,3
22505769,3,3,0
22505769,4,1,5
22505769,5,0,1
22505769,6,0,0
22505769,7,1,1
22505769,8,1,0
22505774,1,0,4
22505774,2,0,1
22505774,3,2,2
22505774,4,2,3
22505774,5,2,0
22505774,6,1,0
22505774,7,1,0
22505772,1,0,1
22505772,2,0,2
22505772,3,3,0
22505772,4,0,0
22505772,5,0,0
22505772,6,1,0
22505773,1,0,0
22505773,2,2,0
22505773,3,0,0
22505773,4,2,0
22505773,5,2,0
22505773,6,0,1
22505779,1,2,1
22505779,2,0,2
22505779,3,0,4
22505779,4,0,0
22505779,5,1,0
22505779,6,1,0
22505779,7,1,0
22505779,8,0,6
22505779,9,0,0
22505778,1,0,2
22505778,2,0,1
22505778,3,3,0
22505778,4,1,0
22505778,5,1,0
22505778,6,5,1
22505778,7,0,0
22505778,8,2,6
22505778,9,0,1
22505777,1,1,3
22505777,2,0,0
22505777,3,0,0
22505777,4,0,0
22505777,5,2,1
22505777,6,0,2
22505777,7,6,2
22505777,8,0,1
22505777,9,0,0
22505782,1,1,5
22505782,2,0,4
22505782,3,5,1
22505782,4,0,4
22505782,5,0,0
22505782,6,3,0
22505782,7,0,2
22505782,8,0,0
22505782,9,0,0
22505783,1,1,2
22505783,2,5,1
22505783,3,5,0
22505783,4,0,4
22505783,5,3,4
22505783,6,6,2
22505783,7,0,0
22505783,8,0,1
22505783,9,0,0
22505781,1,0,2
22505781,2,0,1
22505781,3,2,0
22505781,4,2,4
22505781,5,0,0
22505781,6,0,3
22505781,7,1,4
22511150,1,0,0
22511150,2,3,0
22511150,3,0,0
22511150,4,0,4
22511150,5,2,2
22511150,6,5,0
22511150,7,1,0
22511150,8,1,1
22511150,9,0,0
22511152,1,3,4
22511152,2,1,1
22511152,3,2,1
22511152,4,3,1
22511152,5,0,1
22511152,6,3,0
22511152,7,3,0
22511152,8,6,2
22511152,9,0,0
22511151,1,0,1
22511151,2,0,4
22511151,3,0,3
22511151,4,0,4
22511151,5,5,2
22511151,6,2,0
22511151,7,2,5
22511153,1,0,0
22511153,2,1,2
22511153,3,0,0
22511153,4,1,0
22511153,5,6,1
22511153,6,0,0
22511153,7,0,6
22511153,8,1,0
22511153,9,0,0
22511154,1,0,6
22511154,2,1,2
22511154,3,1,2
22511154,4,0,0
22511154,5,2,0
22511154,6,0,1
22511154,7,1,6
22511155,1,4,3
22511155,2,0,0
22511155,3,0,3
22511155,4,0,1
22511155,5,0,3
22511155,6,3,1
22511155,7,0,0
22511155,8,2,2
22511155,9,2,0
22511156,1,2,1
22511156,2,0,0
22511156,3,0,0
22511156,4,0,0
22511156,5,0,1
22511156,6,0,5
22511156,7,0,2
22511156,8,0,6
22511159,1,0,3
22511159,2,0,0
22511159,3,0,1
22511159,4,0,0
22511159,5,0,0
22511159,6,0,0
22511159,7,0,1
22511159,8,0,0
22511159,9,0,0
22511157,1,1,1
22511157,2,1,2
22511157,3,4,3
22511157,4,0,1
22511157,5,0,0
22511157,6,4,2
22511157,7,3,6
22511157,8,0,0
22511160,1,0,1
22511160,2,2,0
22511160,3,0,6
22511160,4,1,4
22511160,5,3,5
22511160,6,3,4
22511160,7,0,0
22511161,1,1,4
22511161,2,0,1
22511161,3,2,0
22511161,4,3,1
22511161,5,1,0
22511161,6,0,3
22511161,7,0,0
22511161,8,0,1
22511161,9,0,1
22511162,1,4,0
22511162,2,0,0
22511162,3,6,0
22511162,4,1,0
22511162,5,6,2
22511162,6,6,0
22511162,7,1,2
22511162,8,0,0
22511162,9,0,1
22511165,1,1,1
22511165,2,0,4
22511165,3,1,3
22511165,4,2,4
22511165,5,6,6
22511165,6,2,1
22504901,1,0,0
22504901,2,1,0
22504901,3,0,1
22504901,4,1,2
22504901,5,0,4
22504901,6,1,1
22504901,7,0,2
22504901,8,0,6
22504901,9,1,0
22511164,1,6,2
22511164,2,6,0
22511164,3,0,0
22511164,4,0,6
22511164,5,6,0
22511164,6,0,4
22511164,7,0,0
22511164,8,0,6
22511168,1,2,0
22511168,2,6,0
22511168,3,1,2
22511168,4,1,0
22511168,5,1,0
22511168,6,0,0
22511168,7,0,0
22511166,1,3,5
22511166,2,2,1
22511166,3,1,2
22511166,4,6,2
22511166,5,0,1
22511167,1,5,0
22511167,2,4,5
22511167,3,0,6
22511167,4,2,1
22511167,5,0,1
22511167,6,0,2
22511170,1,1,4
22511170,2,1,2
22511170,3,1,0
22511170,4,3,1
22511170,5,6,3
22511170,6,1,0
22511170,7,3,2
22511170,8,4,1
22511170,9,0,1
22511169,1,0,3
22511169,2,3,1
22511169,3,6,0
22511169,4,0,1
22511169,5,0,0
22511169,6,0,0
22511169,7,1,1
22511169,8,0,0
22511169,9,0,0
22511171,1,0,6
22511171,2,6,4
22511171,3,0,0
22511171,4,1,0
22511171,5,0,0
22511171,6,0,1
22511171,7,0,1
22511171,8,4,1
22511171,9,0,0
22511175,1,0,0
22511175,2,0,3
22511175,3,1,0
22511175,4,0,2
22511175,5,3,1
22511175,6,0,6
22511175,7,1,6
22511175,8,1,2
22511177,1,6,6
22511177,2,0,0
22511177,3,0,2
22511177,4,1,0
22511177,5,0,2
22511177,6,0,3
22511177,7,1,0
22511177,8,1,0
22511177,9,0,3
22511185,1,3,0
22511185,2,0,0
22511185,3,0,0
22511185,4,2,0
22511185,5,0,0
22511185,6,2,6
22511185,7,0,2
22511185,8,0,0
22511185,9,0,0
22511184,1,1,0
22511184,2,0,1
22511184,3,1,2
22511184,4,1,2
22511184,5,0,6
22511184,6,0,0
22511184,7,0,6
22511184,8,3,0
22511186,1,6,1
22511186,2,0,0
22511186,3,4,0
22511186,4,0,1
22511186,5,6,6
22511186,6,1,0
22511186,7,0,0
22511186,8,3,0
22511186,9,0,0
22511189,1,1,0
22511189,2,0,3
22511189,3,0,4
22511189,4,2,1
22511189,5,0,0
22511189,6,1,0
22511189,7,0,5
22511188,1,3,2
22511188,2,0,3
22511188,3,1,2
22511188,4,3,1
22511188,5,0,0
22511188,6,2,1
22511188,7,0,0
22511188,8,2,0
22511188,9,1,4
22511187,1,1,1
22511187,2,3,0
22511187,3,1,2
22511187,4,1,1
22511187,5,3,4
22511187,6,0,1
22511187,7,0,0
22511187,8,0,1
22511192,1,0,0
22511192,2,0,0
22511192,3,1,3
22511192,4,0,0
22511192,5,1,0
22511192,6,0,0
22511192,7,1,0
22511192,8,1,1
22511192,9,0,0
22511190,1,4,0
22511190,2,0,1
22511190,3,0,0
22511190,4,0,2
22511190,5,1,3
22511190,6,5,6
22511190,7,1,1
22511190,8,1,0
22511190,9,2,0
22511191,1,3,4
22511191,2,0,1
22511191,3,1,0
22511191,4,0,0
22511191,5,4,0
22511191,6,0,2
22511191,7,2,0
22511191,8,0,5
22511191,9,0,1
22877814,1,2,2
22877814,2,0,3
22877814,3,0,5
22877814,4,3,3
22877814,5,0,0
22877814,6,5,0
22877813,1,1,5
22877813,2,2,0
22877813,3,0,0
22877813,4,3,2
22877813,5,0,0
22877813,6,0,0
22877813,7,0,2
22877813,8,0,0
22877813,9,4,0
23732814,1,4,2
23732814,2,1,2
23732814,3,1,0
23732814,4,2,1
23732814,5,4,0
23732814,6,5,0
23732814,7,0,4
23732814,8,5,0
23732814,9,0,0
23732821,1,1,4
23732821,2,0,0
23732821,3,1,0
23732821,4,0,0
23732821,5,0,4
23732821,6,0,2
23732821,7,0,1
23732821,8,3,1
23732821,9,0,2
23732820,1,0,2
23732820,2,1,0
23732820,3,0,1
23732820,4,4,1
23732820,5,0,0
23732820,6,0,0
23732820,7,0,1
23732820,8,1,1
23732820,9,0,0
23732820,10,0,0
23732820,11,1,0
23732832,1,0,0
23732832,2,1,0
23732832,3,2,1
23732832,4,1,3
23732832,5,0,0
23732832,6,2,0
23732832,7,2,0
23732832,8,5,1
23732832,9,0,2
23628511,1,0,4
23628511,2,4,1
23628511,3,0,1
23628511,4,0,1
23628511,5,0,6
23628511,6,1,3
23628511,7,5,5
23628511,8,0,0
23628510,1,2,0
23628510,2,0,0
23628510,3,0,0
23628510,4,0,5
23628510,5,1,0
23628510,6,0,0
23628510,7,0,1
23628510,8,4,0
23628510,9,0,3
23628509,1,0,1
23628509,2,1,0
23628509,3,2,0
23628509,4,5,0
23628509,5,0,1
23628509,6,0,3
23628509,7,0,0
23628509,8,0,0
23628509,9,0,3
23628512,1,5,0
23628512,2,0,0
23628512,3,0,1
23628512,4,2,0
23628512,5,1,0
23628512,6,1,0
23628512,7,0,0
