ArticleID,Title,Content,LastUpdated
2157057,Registration for the 2026 season is now officially closed!,"<p class=""isSelectedEnd"">Registration for the 2026 season is now officially closed!</p>
<p class=""isSelectedEnd"">We’ve had an incredible response this year, with over 90 players already signed up 🎉</p>
<p class=""isSelectedEnd"">If you missed out, don’t worry — we’ll be opening up a call-ups/fill-in list soon. This will be a great way to get involved if spots become available throughout the season.</p>
<p>Stay tuned for more details!</p>",Last Updated: 3/23/2026 2:28:00 PM
2156043,"Indoor Training Sessions - Starting February 21, 2026","<p class=""p1"" style=""margin: 0px; font-width: normal; font-size: 17px; line-height: normal; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal; -webkit-text-size-adjust: auto;""><span class=""s1"" style=""font-family: UICTFontTextStyleEmphasizedBody; font-weight: bold;"">Indoor Training Sessions – Starting February 21, 2026</span></p>
<p class=""p1"" style=""margin: 0px; font-width: normal; font-size: 17px; line-height: normal; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal; -webkit-text-size-adjust: auto;""><span class=""s2"" style=""font-family: UICTFontTextStyleBody;"">We’re excited to announce that our indoor training sessions will begin on </span><span class=""s1"" style=""font-family: UICTFontTextStyleEmphasizedBody; font-weight: bold;"">February 21</span><span class=""s2"" style=""font-family: UICTFontTextStyleBody;""> and run through the </span><span class=""s1"" style=""font-family: UICTFontTextStyleEmphasizedBody; font-weight: bold;"">end of March</span><span class=""s2"" style=""font-family: UICTFontTextStyleBody;"">.</span></p>
<p class=""p1"" style=""margin: 0px; font-width: normal; font-size: 17px; line-height: normal; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal; -webkit-text-size-adjust: auto;""><span class=""s2"" style=""font-family: UICTFontTextStyleBody;"">📍 </span><span class=""s1"" style=""font-family: UICTFontTextStyleEmphasizedBody; font-weight: bold;"">Location:</span><span class=""s2"" style=""font-family: UICTFontTextStyleBody;""> Ontario Baseball Academy<br />100 Ray St N<br />🕢 </span><span class=""s1"" style=""font-family: UICTFontTextStyleEmphasizedBody; font-weight: bold;"">Time:</span><span class=""s2"" style=""font-family: UICTFontTextStyleBody;""> 7:30 PM – 9:30 PM<br />💲 </span><span class=""s1"" style=""font-family: UICTFontTextStyleEmphasizedBody; font-weight: bold;"">Cost:</span><span class=""s2"" style=""font-family: UICTFontTextStyleBody;""> $20–$25 per person, per session</span></p>
<p class=""p1"" style=""margin: 0px; font-width: normal; font-size: 17px; line-height: normal; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal; -webkit-text-size-adjust: auto;""><span class=""s2"" style=""font-family: UICTFontTextStyleBody;"">Please bring your own </span><span class=""s1"" style=""font-family: UICTFontTextStyleEmphasizedBody; font-weight: bold;"">bat, glove, and baseball</span><span class=""s2"" style=""font-family: UICTFontTextStyleBody;"">.</span></p>
<p class=""p1"" style=""margin: 0px; font-width: normal; font-size: 17px; line-height: normal; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal; -webkit-text-size-adjust: auto;""><span class=""s2"" style=""font-family: UICTFontTextStyleBody;"">All </span><span class=""s1"" style=""font-family: UICTFontTextStyleEmphasizedBody; font-weight: bold;"">HOBO families</span><span class=""s2"" style=""font-family: UICTFontTextStyleBody;""> are welcome to attend!</span></p>
<p class=""p1"" style=""margin: 0px; font-width: normal; font-size: 17px; line-height: normal; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal; -webkit-text-size-adjust: auto;""><span class=""s2"" style=""font-family: UICTFontTextStyleBody;"">For any questions, please contact </span><span class=""s1"" style=""font-family: UICTFontTextStyleEmphasizedBody; font-weight: bold;"">Jun Kim</span><span class=""s2"" style=""font-family: UICTFontTextStyleBody;""> at </span><span class=""s1"" style=""font-family: UICTFontTextStyleEmphasizedBody; font-weight: bold;"">junkimhamilton@gmail.com</span><span class=""s2"" style=""font-family: UICTFontTextStyleBody;"">.</span></p>
<p class=""p1"" style=""margin: 0px; font-width: normal; font-size: 17px; line-height: normal; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal; -webkit-text-size-adjust: auto;""><span class=""s2"" style=""font-family: UICTFontTextStyleBody;"">We look forward to seeing everyone there! ⚾</span></p>",Last Updated: 2/20/2026 10:41:00 PM
2153780,Annual General Meeting this Saturday!,"<p> </p>
<p> </p>
<p><span style=""font-size: 14pt;"">Come out and have your say about how the league is run at the 2025 Annual General Meeting.  The Executive will be on hand to provide a wrap up of activities this year, as well as hold elections for the following positions:</span></p>
<ul>
<li><span style=""font-size: 14pt;"">President (Incumbent Dave St. Martin)</span></li>
<li><span style=""font-size: 14pt;"">Secretary (Incumbent Jun Kim)</span></li>
<li><span style=""font-size: 14pt;"">Business Operations (Open position)</span></li>
</ul>
<p> </p>
<p><span style=""font-size: 14pt;"">Location:  Dave Andreychuk Arena - The Lounge</span></p>
<p style=""padding-left: 40px;""><span style=""font-size: 14pt;""><a href=""https://maps.app.goo.gl/Ly7wMB5nLqHmRX538"">Map - Dave Andreychuk Mountain Arena</a></span></p>
<p><span style=""font-size: 14pt;"">Address:  25 Hester St</span></p>
<p><span style=""font-size: 14pt;"">Date:  Nov 29th</span></p>
<p><span style=""font-size: 14pt;"">Time:  10:00am - 12:30pm</span></p>",Last Updated: 11/25/2025 11:21:00 PM
2152242,🏆 Blue Jays Crowned 2025 HOBO Champions After Epic 9th-Inning Comeback,"<p data-start=""172"" data-end=""369""><span style=""font-size: 24px;"">🏆 </span>Blue Jays Crowned 2025 HOBO Champions After Epic 9th-Inning Comeback</p>
<p data-start=""172"" data-end=""369"">The Hamilton Oldtimers Baseball Organization (HOBO) wrapped up its 2025 season with a finale for the ages at Bernie Arbour Stadium, as the Blue Jays captured the championship in dramatic fashion.</p>
<p data-start=""371"" data-end=""657"">Facing the Royals in a highly anticipated rematch of the playoffs’ opening round, the Blue Jays found themselves trailing late in the game. But true to their never-say-die spirit, the squad mounted a thrilling comeback in the top of the 9th inning to secure the HOBO Finals trophy.</p>
<p data-start=""659"" data-end=""986"">The victory not only showcased the Blue Jays’ talent and resilience but also highlighted the camaraderie and competitiveness that defines HOBO baseball. With clutch hits, gritty defense, and an unshakable belief in each other, the Blue Jays stormed back to etch their names onto the league’s championship hardware once again.</p>
<p data-start=""988"" data-end=""1218"">The packed crowd at Bernie Arbour was electric, capping off an exciting finish. Players and fans alike will be talking about this classic showdown for years to come.</p>
<p> </p>
<p data-start=""1220"" data-end=""1337"">Congratulations to the 2025 HOBO Champion <strong data-start=""1262"" data-end=""1275"">Blue Jays</strong>—proof that in baseball, it’s never over until the last out.</p>",Last Updated: 9/26/2025 2:14:00 PM
