id,first_name,last_name,executive_year,executive_position,
,Chuck,Beaudoin,1988,President,
,Phil,Beaudoin,1988,Executive Secretary,
,Robert,Parker,1988,Correspondence Secretary,
,Randy,Campbell,1988,Treasurer,
,Dave,Stedman,1988,Registrar/Umpires,
,Don,Graves,1988,Publicity/Sponsors,
,Darryl,O'Regan,1988,Social Director,
,Bill,Bell,1988,Equipment Manager,
,,,,,
id,first_name,last_name,executive_year,executive_position,
,Chuck,Beaudoin,1989,President,
,Randy,Campbell,1989,Treasurer,
,Phil,Beaudoin,1989,Secretary/Umpires,
,Jim,Bartlett,1989,Registrar,
,Don,Graves,1989,Sponsorship Coordinator,
,Dave,Stedman,1989,Travelling Team Convenor,
,Bill,Bell,1989,Equipment/Statistician,
,Ed,Bril,1989,Tournament Chair,
,Bob,Black,1989,Members-at-Large,
,Robert,Parker,1989,Members-at-Large,
,,,,,
id,first_name,last_name,executive_year,executive_position,
,Chuck,Beaudoin,1990,President,
,Phil,Beaudoin,1990,Secretary/Umpires,
,Randy,Campbell,1990,Treasurer,
,Jim,Bartlett,1990,Registrar,
,Wayne,Chisholm,1990,Sponsorship Coordinator,
,Bill,Bell,1990,Equipment/Co-Statistician,
,Dave,Stedman,1990,Travelling Team Convenor,
,Ed,Bril,1990,Tournament Chair,
,Cam,Lovelady,1990,Publicity/Co-Statistician,
,,,,,
id,first_name,last_name,executive_year,executive_position,
,Chuck,Beaudoin,1991,President,
,Phil,Beaudoin,1991,Secretary/Umpires,
,Steve,Connor,1991,Treasurer,
,Jim,Bartlett,1991,Registrar,
,Wayne,Chisholm,1991,Sponsorship Coordinator,
,Bill,Bell,1991,Equipment,
,Dave,Stedman,1991,Travelling Team Convenor,
,Steve,Connor,1991,Ass't Travelling Team Convenor,
,Ed,Bril,1991,Tournament Chair,
,Cam,Lovelady,1991,Publicity/Statistician,
,Joe,Collins,1991,Social Convenor,
,,,,,
id,first_name,last_name,executive_year,executive_position,
,Phil,Beaudoin,1992,President,
,Chuck,Beaudoin,1992,VP/Tournament Convenor,
,Bob,Ishibashi,1992,House League Convenor,
,Bob,Munn,1992,Special Events Coordinator,
,Jim,Bartlett,1992,Registrar,
,Bill,Bell,1992,Equipment,
,Cam,Lovelady,1992,Publicity/Statistician,
,Dave,Stedman,1992,Masters' Convenor,
,Don,Alexander,1992,Travelling Team Convenor,
,Steve,Connor,1992,Treasurer/Ass't TTC,
,Chris,Dowdy,1992,Secretary,
,,,,,
id,first_name,last_name,executive_year,executive_position,
,Phil,Beaudoin,1993,President,
,Chuck,Beaudoin,1993,VP/Tournament Convenor,
,Bob,Ishibashi,1993,House League Convenor,
,Jim,Bartlett,1993,Registrar,
,Bill,Bell,1993,Equipment,
,Cam,Lovelady,1993,Publicity/Statistician,
,Dave,Stedman,1993,Masters' Convenor,
,Chuck,Beaudoin,1993,Travelling Team Convenor,
,Steve,Connor,1993,Treasurer/Ass't TTC,
,Chris,Dowdy,1993,Secretary,
,,,,,
id,first_name,last_name,executive_year,executive_position,
,Phil,Beaudoin,1994,President,
,Chuck,Beaudoin,1994,VP/Tournament Convenor,
,Phil,Beaudoin,1994,House League Convenor,
,Bob,Ishibashi,1994,House League Convenor,
,Wally,Cassell,1994,Special Events Co-ordinator,
,Bob,Ishibashi,1994,Registrar,
,Jim,Bartlett,1994,Equipment,
,Cam,Lovelady,1994,Publicity/Statistician,
,Dave,Stedman,1994,Masters' Convenor,
,Chuck,Beaudoin,1994,Travelling Team Convenor,
